alpha,run_idx,algorithm,nue,sq_error,rel_sq_error,rmse,elapsed_sec
0.5,0,EaseSHAP_boundary_size_player,500,0.37293212067389958,0.00082042193774247839,0.09655725253365223,35.0228
0.5,0,EaseSHAP_boundary_size_player,1000,0.17950615940747233,0.00039489972296209269,0.066989954360238288,35.0228
0.5,0,EaseSHAP_boundary_size_player,1500,0.12037014187716052,0.00026480503976633894,0.054856663651091778,35.0228
0.5,0,EaseSHAP_boundary_size_player,2000,0.085237354655212788,0.00018751561423002621,0.04616203923550518,35.0228
0.5,0,EaseSHAP_boundary_size_player,2500,0.077733936207909124,0.00017100867164995156,0.044083425515693858,35.0228
0.5,0,EaseSHAP_boundary_size_player,3000,0.049593236179513167,0.00010910129932437372,0.035211232646526723,35.0228
0.5,0,EaseSHAP_boundary_size_player,3500,0.041879710150896261,9.2132136250435716e-05,0.032357267402739788,35.0228
0.5,0,EaseSHAP_boundary_size_player,4000,0.039204596365377722,8.6247091991896647e-05,0.031306786950027997,35.0228
0.5,0,EaseSHAP_boundary_size_player,4500,0.035296641609473454,7.7649892566823621e-05,0.029705488385765286,35.0228
0.5,0,EaseSHAP_boundary_size_player,5000,0.038319008121924,8.4298866075010345e-05,0.030951174501916732,35.0228
0.5,0,OFA_fixed,500,1.0174274127991429,0.0022382619335996738,0.15948569001631016,23.1227
0.5,0,OFA_fixed,1000,0.89718598572148434,0.001973740056477069,0.14976531522030428,23.1227
0.5,0,OFA_fixed,1500,0.51575637782868022,0.0011346243014321877,0.11355135158031808,23.1227
0.5,0,OFA_fixed,2000,0.41034926201714045,0.00090273676637706729,0.10128539653093388,23.1227
0.5,0,OFA_fixed,2500,0.24157942782825836,0.00053145613185431938,0.077714128031564883,23.1227
0.5,0,OFA_fixed,3000,0.19226810725212445,0.00042297502514083236,0.069330387863498294,23.1227
0.5,0,OFA_fixed,3500,0.1453586504388524,0.00031977783368505961,0.060282387651546372,23.1227
0.5,0,OFA_fixed,4000,0.13795728609352947,0.00030349540226790197,0.058727609795889334,23.1227
0.5,0,OFA_fixed,4500,0.12519729338353741,0.00027542440123480631,0.055945798185283183,23.1227
0.5,0,OFA_fixed,5000,0.11297199223112078,0.00024852968043996928,0.053144141782307669,23.1227
0.5,1,EaseSHAP_boundary_size_player,500,0.42078814077058457,0.00092570149550601308,0.10256560592744828,33.7746
0.5,1,EaseSHAP_boundary_size_player,1000,0.21899437984069919,0.00048177076605510316,0.073992293490724295,33.7746
0.5,1,EaseSHAP_boundary_size_player,1500,0.12218744069461467,0.00026880295717441482,0.055269214010743514,33.7746
0.5,1,EaseSHAP_boundary_size_player,2000,0.10413394574406144,0.00022908665898161733,0.051023020722038161,33.7746
0.5,1,EaseSHAP_boundary_size_player,2500,0.066367625931858049,0.00014600366461325757,0.040733163985829178,33.7746
0.5,1,EaseSHAP_boundary_size_player,3000,0.051348138607508149,0.00011296194948216365,0.035828807755599455,33.7746
0.5,1,EaseSHAP_boundary_size_player,3500,0.038573320634997653,8.485833401354838e-05,0.031053711789010688,33.7746
0.5,1,EaseSHAP_boundary_size_player,4000,0.033062335410920574,7.2734591043279964e-05,0.028749928439441623,33.7746
0.5,1,EaseSHAP_boundary_size_player,4500,0.028700708128807009,6.3139347007888644e-05,0.026786520924154657,33.7746
0.5,1,EaseSHAP_boundary_size_player,5000,0.027361949486122774,6.0194181121357482e-05,0.026154325400458513,33.7746
0.5,1,OFA_fixed,500,1.7045460925089815,0.0037498700987744164,0.20643074459179897,23.2536
0.5,1,OFA_fixed,1000,0.78348855696801534,0.001723614471569824,0.13995432799381513,23.2536
0.5,1,OFA_fixed,1500,0.52392409238904081,0.0011525926442888708,0.11444694102389115,23.2536
