alpha,run_idx,algorithm,nue,sq_error,rel_sq_error,rmse,elapsed_sec
0.5,0,EaseSHAP,500,2.7239478837704967,0.0059924755129008127,0.26095727062924007,12.939
0.5,0,EaseSHAP,1000,0.7617822713690261,0.0016758623153325597,0.13800201731940606,12.939
0.5,0,EaseSHAP,1500,0.46106194293443753,0.0010143007578913995,0.10736176495084708,12.939
0.5,0,EaseSHAP,2000,0.33701273278393229,0.00074140205133001484,0.091789532734393567,12.939
0.5,0,EaseSHAP,2500,0.22696698823402509,0.0004993098903737453,0.075327117997774404,12.939
0.5,0,EaseSHAP,3000,0.15923628427788955,0.00035030755910782417,0.063094430078630859,12.939
0.5,0,EaseSHAP,3500,0.13218666049689651,0.00029080047047865074,0.057486228893730819,12.939
0.5,0,EaseSHAP,4000,0.11665281101821404,0.00025662719823041613,0.054002965432051513,12.939
0.5,0,EaseSHAP,4500,0.12354988835171708,0.00027180023706785172,0.055576498709372903,12.939
0.5,0,EaseSHAP,5000,0.11220371572275656,0.00024683953130351193,0.052963127674533282,12.939
0.5,0,RegressionMSR_unbiased,500,3.8083080045317241,0.0083779842480507932,0.30855745026379305,12.2802
0.5,0,RegressionMSR_unbiased,1000,1.8499939726414898,0.0040698442309119696,0.215057781342683,12.2802
0.5,0,RegressionMSR_unbiased,1500,0.95748353943120268,0.0021063900297919598,0.15471615457275323,12.2802
0.5,0,RegressionMSR_unbiased,2000,0.72969905924787537,0.0016052817201028615,0.13506471219825286,12.2802
0.5,0,RegressionMSR_unbiased,2500,0.69425379458147018,0.0015273048682595326,0.13174348129807698,12.2802
0.5,0,RegressionMSR_unbiased,3000,0.67611292973037163,0.0014873963630158214,0.13001085817445898,12.2802
0.5,0,RegressionMSR_unbiased,3500,0.52166041347039616,0.0011476127250437671,0.11419943229613666,12.2802
0.5,0,RegressionMSR_unbiased,4000,0.4749371463119556,0.0010448251364860456,0.10896526353750946,12.2802
0.5,0,RegressionMSR_unbiased,4500,0.47820693612770931,0.0010520184222019655,0.10933971558035412,12.2802
0.5,0,RegressionMSR_unbiased,5000,0.47480381844037234,0.0010445318254390869,0.10894996769622885,12.2802
0.5,0,RegressionMSR_unbiased_plain,500,1.4865338141597471,0.0032702598803472068,0.19277796905765365,19.9726
0.5,0,RegressionMSR_unbiased_plain,1000,0.70069010676493426,0.0015414642592605841,0.13235275844924185,19.9726
0.5,0,RegressionMSR_unbiased_plain,1500,0.4873340381972342,0.0010720973436751866,0.11037821775572776,19.9726
0.5,0,RegressionMSR_unbiased_plain,2000,0.4791717670859944,0.001054140975987249,0.10944996197875018,19.9726
0.5,0,RegressionMSR_unbiased_plain,2500,0.32941139201620379,0.00072467968718816639,0.090748469961785552,19.9726
0.5,0,RegressionMSR_unbiased_plain,3000,0.29464342775433938,0.00064819284406096253,0.085825903396693048,19.9726
0.5,0,RegressionMSR_unbiased_plain,3500,0.28242904109485778,0.00062132213430981641,0.084028126406408971,19.9726
0.5,0,RegressionMSR_unbiased_plain,4000,0.21298669411475699,0.00046855432024260846,0.07297031830044956,19.9726
0.5,0,RegressionMSR_unbiased_plain,4500,0.1664271272824516,0.00036612685979220638,0.064503319155383695,19.9726
0.5,0,RegressionMSR_unbiased_plain,5000,0.17290223319597267,0.00038037159401102137,0.065746146882530818,19.9726
0.5,1,EaseSHAP,500,1.962163293360097,0.0043166080958558714,0.2214815620633068,12.9684
0.5,1,EaseSHAP,1000,0.54457989687421127,0.0011980338229964878,0.11668117852445305,12.9684
0.5,1,EaseSHAP,1500,0.38138913912544203,0.00083902672687407849,0.097645934263214718,12.9684
0.5,1,EaseSHAP,2000,0.27487301668862524,0.00060469946267244505,0.082896474093990466,12.9684
0.5,1,EaseSHAP,2500,0.21372644722619016,0.00047018172010303435,0.073096930035773416,12.9684
0.5,1,EaseSHAP,3000,0.18700056618774549,0.00041138684056888779,0.068374075165179654,12.9684
0.5,1,EaseSHAP,3500,0.19305287837639329,0.00042470146116166515,0.069471734967609888,12.9684
0.5,1,EaseSHAP,4000,0.17743058537098946,0.00039033361996763314,0.066601536275635087,12.9684
0.5,1,EaseSHAP,4500,0.13774661850174943,0.00030303194979415044,0.058682752683763356,12.9684
0.5,1,EaseSHAP,5000,0.12040446079223009,0.00026488053873583426,0.054864483227364425,12.9684
0.5,1,RegressionMSR_unbiased,500,3.4910699922224318,0.0076800850584769695,0.29542638644095554,12.4852
0.5,1,RegressionMSR_unbiased,1000,2.0011795355032751,0.0044024408230682486,0.22367272606999242,12.4852
0.5,1,RegressionMSR_unbiased,1500,1.0166111085636633,0.0022364661271632386,0.15942169775187939,12.4852
0.5,1,RegressionMSR_unbiased,2000,0.60916798487062485,0.0013401226412332913,0.12340664334534678,12.4852
0.5,1,RegressionMSR_unbiased,2500,0.42590642680464547,0.00093696133050868459,0.10318750248996306,12.4852
0.5,1,RegressionMSR_unbiased,3000,0.52301999674570254,0.001150603703517902,0.11434815223099391,12.4852
0.5,1,RegressionMSR_unbiased,3500,0.51114555901161041,0.001124480855215637,0.11304264228728141,12.4852
0.5,1,RegressionMSR_unbiased,4000,0.34586523537137498,0.00076087687509562656,0.092987261946378311,12.4852
