method,method_label,seed_index,estimator_seed,checkpoint,utility_evaluations,sum_estimated_values,efficiency_error,rmse_to_own_final_mean,mae_to_own_final_mean,pearson_to_own_final_mean,spearman_to_own_final_mean,top5_overlap_own_final_mean,top10_overlap_own_final_mean,top15_overlap_own_final_mean,rmse_to_reference,mae_to_reference,pearson_to_reference,spearman_to_reference,top5_overlap_reference,top10_overlap_reference,top15_overlap_reference
OFA_baseline,OFA baseline,0,2026,1,500,0.02451002484056768,0.22588065411551755,0.005029528941636383,0.004577623383868845,0.11010403869257893,0.08918709039744464,0,2,7,0.005012928740138665,0.004562350539950554,0.12710059127096254,0.09398308698551817,0,2,7
OFA_baseline,OFA baseline,0,2026,2,1000,0.05536692955391584,0.1950237494021694,0.004576278744439752,0.004010024663545068,0.33228504400283276,0.32805392469833505,1,2,7,0.004563645253334678,0.003993053429894217,0.34153452692605846,0.3341022685855032,1,2,7
OFA_baseline,OFA baseline,0,2026,3,1500,0.07700849052933897,0.17338218842674627,0.00431546203159757,0.0036089696373303465,0.3092524534429816,0.27147819395837447,1,3,7,0.0042925900015707875,0.003589349179217123,0.32718175966266855,0.2987267144080476,1,3,7
OFA_baseline,OFA baseline,0,2026,4,2000,0.10591202164665284,0.1444786573094324,0.003944374345999858,0.0031272877847507035,0.3595921530579829,0.33322401265325974,2,5,9,0.003913466059777207,0.0031054145282563028,0.38185734303633373,0.36109661517625,2,5,9
OFA_baseline,OFA baseline,0,2026,5,2500,0.12868740109140386,0.12170327786468138,0.003654812776460284,0.002726827283081811,0.3569462374803413,0.334724827695646,2,6,10,0.0036291253377074085,0.0027108570438958805,0.37293889781505785,0.3545383200266565,2,6,10
OFA_baseline,OFA baseline,0,2026,6,3000,0.15069710606748754,0.0996935728885977,0.0033701789881881656,0.0023445912384928887,0.3335507862158284,0.344433468938457,2,6,10,0.00335710905379891,0.0023401777423445935,0.3386459168991286,0.35376394331315864,2,6,10
OFA_baseline,OFA baseline,0,2026,7,3500,0.1748282984735865,0.07556238048249875,0.0028924634708329417,0.0019057261603520137,0.4522181516712729,0.49851307912014237,2,5,12,0.0028857830995783406,0.001899383269010727,0.4538165619970044,0.5104879075024835,2,5,12
OFA_baseline,OFA baseline,0,2026,8,4000,0.19727520300621562,0.05311547594986962,0.002370094416910042,0.0015262164244997825,0.5714474301873598,0.6491072193037459,3,7,13,0.0023589480082178735,0.0015210073471081705,0.5761776339268231,0.6683432398401536,3,7,13
OFA_baseline,OFA baseline,0,2026,9,4500,0.22218578830999863,0.02820489064608661,0.001759834030962226,0.001081955277686798,0.670335025808795,0.7484507229336516,3,7,13,0.0017642423047712185,0.001087601092343375,0.6667674944200683,0.7528706129464827,3,7,13
OFA_baseline,OFA baseline,0,2026,10,5000,0.2527278783009688,0.002337199344883578,0.0009792143243464754,0.0007412877437108202,0.8416990830819049,0.8229051620648258,3,7,12,0.0009338831252333202,0.0007244496683695672,0.8537565106238932,0.8298199279711884,3,7,12
OFA_baseline,OFA baseline,0,2026,11,5500,0.25435874376279666,0.003968064806711413,0.0009371838979611149,0.0006974640347155342,0.8555836674340264,0.8501800720288114,3,8,12,0.0009031910660724031,0.0006844583685898916,0.8637848247918989,0.851812725090036,3,8,12
OFA_baseline,OFA baseline,0,2026,12,6000,0.25890251180109064,0.008511832845005396,0.0009402469822397364,0.0006928010392582265,0.8708679695934524,0.8606482593037215,4,7,13,0.0009323178704785028,0.0006897445138962358,0.8722355137125388,0.8631452581032413,4,7,13
OFA_baseline,OFA baseline,0,2026,13,6500,0.2608081169880565,0.01041743803197126,0.000920605786435679,0.0006561286103089416,0.8764672406238359,0.861128451380552,4,7,14,0.0009084739402892938,0.0006460082684325043,0.8789127280677966,0.865642256902761,4,7,14
OFA_baseline,OFA baseline,0,2026,14,7000,0.25895182308883563,0.008561144132750387,0.0009070692943055227,0.0006288916976789381,0.8781150876801422,0.8634333733493396,4,7,14,0.0008959462238900486,0.000618771355802501,0.8802711539065277,0.8685234093637455,4,7,14
