mask,n_states,n_train,utility,log_loss,mode,elapsed_sec
0,0,0,-0.6630765353541634,0.6630765353541634,constant_eval_prior,0.00105050002457574
1,1,500,-0.49727729316841873,0.49727729316841873,ridge_fixed,0.0022127910051494837
2,1,500,-0.5353629993207899,0.5353629993207899,ridge_fixed,0.0024465829483233392
4,1,500,-0.48116700967605447,0.48116700967605447,ridge_fixed,0.002336250036023557
8,1,500,-0.5502893595185887,0.5502893595185887,ridge_fixed,0.0021238329936750233
16,1,500,-0.4807996079704189,0.4807996079704189,ridge_fixed,0.0019313340308144689
32,1,500,-0.4735761809022351,0.4735761809022351,ridge_fixed,0.0020431250450201333
64,1,500,-0.48687052413106674,0.48687052413106674,ridge_fixed,0.002162249991670251
128,1,500,-0.4771698145668742,0.4771698145668742,ridge_fixed,0.0026417499757371843
256,1,500,-0.4854678333463338,0.4854678333463338,ridge_fixed,0.002160874952096492
512,1,500,-0.4800289927845742,0.4800289927845742,ridge_fixed,0.002073083014693111
1024,1,500,-0.4927557015817544,0.4927557015817544,ridge_fixed,0.002063667052425444
2048,1,500,-0.4947374736449677,0.4947374736449677,ridge_fixed,0.001963833055924624
4096,1,500,-0.46682054313400306,0.46682054313400306,ridge_fixed,0.002022291999310255
8192,1,500,-0.4827592542158746,0.4827592542158746,ridge_fixed,0.0018685829709284008
16384,1,500,-0.49352794585741216,0.49352794585741216,ridge_fixed,0.0019568749703466892
32768,1,500,-0.49469139362312275,0.49469139362312275,ridge_fixed,0.002199666982050985
65536,1,500,-0.5031201398551921,0.5031201398551921,ridge_fixed,0.0019627500441856682
131072,1,500,-0.525889103187959,0.525889103187959,ridge_fixed,0.0021393329952843487
262144,1,500,-0.49532586283438423,0.49532586283438423,ridge_fixed,0.0020352500141598284
524288,1,500,-0.4971546315224838,0.4971546315224838,ridge_fixed,0.0019996250048279762
1048576,1,500,-0.4713721465938017,0.4713721465938017,ridge_fixed,0.0019279170082882047
2097152,1,500,-0.4933880861556674,0.4933880861556674,ridge_fixed,0.0019275830127298832
4194304,1,500,-0.48015884726667346,0.48015884726667346,ridge_fixed,0.0020835420000366867
8388608,1,500,-0.54423476277273,0.54423476277273,ridge_fixed,0.0019212079932913184
16777216,1,500,-0.5172737756772796,0.5172737756772796,ridge_fixed,0.001862958015408367
33554432,1,500,-0.5205542580004694,0.5205542580004694,ridge_fixed,0.0018980419845320284
67108864,1,500,-0.49580738046760203,0.49580738046760203,ridge_fixed,0.0019787499913945794
134217728,1,500,-0.5156556547314588,0.5156556547314588,ridge_fixed,0.001997958985157311
268435456,1,500,-0.4830482773708567,0.4830482773708567,ridge_fixed,0.0019481249619275331
536870912,1,500,-0.5391045564387837,0.5391045564387837,ridge_fixed,0.0019764999742619693
1073741824,1,500,-0.5343298715798,0.5343298715798,ridge_fixed,0.0019382909522391856
2147483648,1,500,-0.49538007198795103,0.49538007198795103,ridge_fixed,0.0019697080133482814
4294967296,1,500,-0.4661053047231055,0.4661053047231055,ridge_fixed,0.002073250012472272
8589934592,1,500,-0.5213017809983224,0.5213017809983224,ridge_fixed,0.002018374972976744
17179869184,1,500,-0.4897432878377516,0.4897432878377516,ridge_fixed,0.001954208011738956
34359738368,1,500,-0.5006541657995711,0.5006541657995711,ridge_fixed,0.0019492499995976686
68719476736,1,500,-0.49818036607274563,0.49818036607274563,ridge_fixed,0.0019585000118240714
137438953472,1,500,-0.4648879407559982,0.4648879407559982,ridge_fixed,0.002402499958407134
274877906944,1,500,-0.47392571299606934,0.47392571299606934,ridge_fixed,0.0020642910385504365
549755813888,1,500,-0.5294094791261884,0.5294094791261884,ridge_fixed,0.0018678340129554272
1099511627776,1,500,-0.4900586858759095,0.4900586858759095,ridge_fixed,0.0019373330287635326
2199023255552,1,500,-0.5219161034945395,0.5219161034945395,ridge_fixed,0.002346542023587972
4398046511104,1,500,-0.4710316663711016,0.4710316663711016,ridge_fixed,0.0020617920090444386
8796093022208,1,500,-0.48358755959351607,0.48358755959351607,ridge_fixed,0.0019612499745562673
17592186044416,1,500,-0.5150724985671112,0.5150724985671112,ridge_fixed,0.001953582977876067
35184372088832,1,500,-0.5002106741894714,0.5002106741894714,ridge_fixed,0.0018378749955445528
70368744177664,1,500,-0.4846524039259238,0.4846524039259238,ridge_fixed,0.0019724579760804772
140737488355328,1,500,-0.5390139288395217,0.5390139288395217,ridge_fixed,0.0021719580399803817
281474976710656,1,500,-0.4592774844797442,0.4592774844797442,ridge_fixed,0.0020253339898772538
562949953421312,1,500,-0.5013892003506938,0.5013892003506938,ridge_fixed,0.002130666980519891
3,2,1000,-0.4709483311664674,0.4709483311664674,ridge_fixed,0.003151749959215522
5,2,1000,-0.4645588279943892,0.4645588279943892,ridge_fixed,0.002863000030629337
10,2,1000,-0.4804884497864997,0.4804884497864997,ridge_fixed,0.002904416003730148
12,2,1000,-0.4845833330287311,0.4845833330287311,ridge_fixed,0.0029384579975157976
17,2,1000,-0.4663817787182138,0.4663817787182138,ridge_fixed,0.0027987080393359065
18,2,1000,-0.4712344064277982,0.4712344064277982,ridge_fixed,0.0030058749835006893
